Line	OP		L	M
0		jmp		0	31	
1		jmp		0	2	
2		int		0	5	
3		lod		1	5	
4		sto		0	4	
5		lod		1	5	
6		lit		0	1	
7		opr		0	3	
8		sto		1	5	
9		lod		1	5	
10		lit		0	0	
11		opr		0	10	
12		jpc		0	16	
13		lit		0	1	
14		opr		0	1	
15		sto		1	4	
16		lod		1	5	
17		lit		0	0	
18		opr		0	8	
19		jpc		0	23	
20		lit		0	1	
21		sto		1	4	
22		jmp		0	24	
23		cal		1	2	
24		lod		1	4	
25		lod		0	4	
26		opr		0	4	
27		sto		1	4	
28		lod		1	4	
29		sio		0	1	
30		opr		0	0	
31		int		0	6	
32		sio		0	2	
33		sto		0	5	
34		cal		0	2	
35		lod		0	4	
36		sio		0	1	
37		opr		0	0	


					pc 	bp 	sp 	stack
Initial values		0  	1 	0 
24	lod 	1 	4	25  	7 	12 	0 0 0 0 1 0 | 0 1 1 35 2 1 
25	lod 	0 	4	26  	7 	13 	0 0 0 0 1 0 | 0 1 1 35 2 1 2 
26	opr 	0 	4	27  	7 	12 	0 0 0 0 1 0 | 0 1 1 35 2 2 
27	sto 	1 	4	28  	7 	11 	0 0 0 0 2 0 | 0 1 1 35 2 
28	lod 	1 	4	29  	7 	12 	0 0 0 0 2 0 | 0 1 1 35 2 2 
29	sio 	0 	1	30  	7 	11 	0 0 0 0 2 0 | 0 1 1 35 2 
30	opr 	0 	0	35  	1 	6 	0 0 0 0 2 0 
35	lod 	0 	4	36  	1 	7 	0 0 0 0 2 0 2 
36	sio 	0 	1	37  	1 	6 	0 0 0 0 2 0 
37	opr 	0 	0	0  	0 	0 	
